title,current_price,discount_percentage,main_url,image,product_code,global_product_id,group_key,color_description,simple_color,sub_title,merch_product_id,internal_pid,consumer_channel_id
Nike College Offcourt (Alabama),40.0$,0%,https://www.nike.com/t/offcourt-alabama-slides-FXVF46/FN2642-001,https://static.nike.com/a/images/t_default/dfdd552c-aef1-4c2c-86ac-fdad44d479b7/NIKE+OFFCOURT+SLIDE+ALABAMA.png,FN2642-001,435baa79-4285-47ae-ba8d-e78ce35fdda0,FXVF46,Night Silver/Dark Smoke Grey/Team Crimson,Grey,Slides,a88dfc0e-869c-5aa6-8bcd-2c1a4d262f49,1014391768,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike HyperAce 3 SE,130.0$,0%,https://www.nike.com/t/hyperace-3-se-volleyball-shoes-wbJJGj/HF3239-100,https://static.nike.com/a/images/t_default/e92c45ab-33ee-4722-add5-8eaf16fb9bc9/AIR+ZOOM+HYPERACE+3+SE.png,HF3239-100,d54815b6-70bf-4a4a-baf2-7f7b9f4de75d,wbJJGj,White/Mint Foam/Violet Mist/Hyper Pink,White,Volleyball Shoes,fc3836fc-47ab-5bf4-9f88-abb074c0dc54,1015503222,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Tiempo Legend 10 Elite,240.0$,0%,https://www.nike.com/t/tiempo-legend-10-elite-firm-ground-low-top-soccer-cleats-lJ1VMj/DV4328-400,https://static.nike.com/a/images/t_default/79a34b48-19d9-4098-8e42-701690059758/LEGEND+10+ELITE+FG.png,DV4328-400,41c97f26-693b-48b1-9043-24a05f1af6e2,lJ1VMj,Soar/White,Blue,Firm-Ground Low-Top Soccer Cleats,aa0540eb-ecbc-53ba-98fe-9c6f08f9ede5,1015585261,d9a5bc42-4b9c-4976-858a-f159cf99c647
Air Jordan Mule,110.0$,0%,https://www.nike.com/t/air-jordan-mule-golf-shoes-BBsgPK/FJ1214-002,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/09934c2a-7888-42b6-8554-a3a9a67eec1a/AIR+JORDAN+MULE.png",FJ1214-002,64f3523e-f9c9-4f44-aaea-da8052167221,BBsgPK,Black/White/Royal,Black,Golf Shoes,2c116840-c816-5385-9eb1-7493b9d3398e,1015585498,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Air Force 1 Low,150.0$,0%,https://www.nike.com/t/air-force-1-low-mens-shoes-jgvGzb/FZ4167-200,https://static.nike.com/a/images/t_default/94d89d78-d6b7-47b4-96cc-7fabef2775eb/AIR+FORCE+1+LOW.png,FZ4167-200,296ab66a-319b-4b27-8498-7b6504fb7756,jgvGzb,Black Tea/Petra Brown/Olive Grey/Black,Brown,Men's Shoes,c6fafca6-3698-5d77-b979-3f0b2c6fb859,1015593869,d9a5bc42-4b9c-4976-858a-f159cf99c647
Kobe VIII Protro,180.0$,0%,https://www.nike.com/t/kobe-viii-protro-basketball-shoes-XhT44Q/HF9550-002,https://static.nike.com/a/images/t_default/674fe780-08c5-4089-911f-319671808809/KOBE+VIII+PROTRO.png,HF9550-002,30b18caf-dbd7-4a48-b5d3-c2340e07db09,XhT44Q,Wolf Grey/Wolf Grey/White,Grey,Basketball Shoes,121dcc53-b985-57c6-bbdc-c99614c23f2a,1015582899,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Air DT Max '96,170.0$,0%,https://www.nike.com/t/air-dt-max-96-mens-shoes-S3bMEFaK/HM9236-001,https://static.nike.com/a/images/t_default/b8f2b4d5-1240-4a80-aa73-7a3b3509fba6/AIR+DT+MAX+%2796.png,HM9236-001,d65873c8-191e-4e54-adf5-74b15e9ad146,S3bMEFaK,Black/White/Vegas Gold,Black,Men's Shoes,87c71888-2388-5b51-999f-81f6ebaa2345,1015606235,d9a5bc42-4b9c-4976-858a-f159cf99c647
NikeCourt Vapor 11 HC Premium,180.0$,0%,https://www.nike.com/t/nikecourt-vapor-11-hc-premium-mens-hard-court-tennis-shoes-77wbtp/FQ7721-001,https://static.nike.com/a/images/t_default/04b69da3-000b-4251-ba8f-cb03e57b783e/M+NIKE+ZOOM+VAPOR+11+HC+PRM.png,FQ7721-001,a0f3983b-1383-44ed-b42f-1b2980be4433,77wbtp,Pure Platinum/Black/Hyper Crimson/Metallic Silver,Grey,Men's Hard Court Tennis Shoes,e654917f-e9bb-5ab1-bb18-9fa427a3eb55,1015627134,d9a5bc42-4b9c-4976-858a-f159cf99c647
Converse x Patta Weapon,140.0$,0%,https://www.nike.com/t/converse-x-patta-weapon-shoes-4s4JCk/A09783C-001,https://static.nike.com/a/images/t_default/1797518b-74e2-43a5-b90d-2fb0634f1327/WEAPON+OX+BLACK%2FGRAY%2FMULTI.png,A09783C-001,f5da27f5-6e60-4ba6-8087-995fb19c0685,4s4JCk,Grey/Multi-Color,Black,Shoes,2da0f128-de79-57de-9b0d-3201a83a9479,1015632936,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike College Offcourt (Georgia),40.0$,0%,https://www.nike.com/t/offcourt-georgia-slides-MXmxs5/FN4139-600,https://static.nike.com/a/images/t_default/a7ea5dfa-d9ec-44a8-9210-72c18a2a49f6/NIKE+OFFCOURT+SLIDE+GEORGIA.png,FN4139-600,b596d437-7f96-4fba-9449-8490f690511f,MXmxs5,University Red/Dark Smoke Grey/Black,Red,Slides,235cd396-393b-5bcd-b747-7fad0c59cf5b,1014391605,d9a5bc42-4b9c-4976-858a-f159cf99c647
